25.01.2017 12:46:10,68 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:15,03 - nsd, INFO, ALL IS WELL  
25.01.2017 12:46:15,31 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:19,64 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:46:19,99 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:24,38 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:28,72 - nsd, INFO, ALL IS WELL  
25.01.2017 12:46:29,01 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:33,36 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:46:33,66 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:37,99 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:42,40 - nsd, INFO, ALL IS WELL  
25.01.2017 12:46:42,84 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:47,42 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:46:48,00 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:52,35 - lsm, INFO, ALL IS WELL  
25.01.2017 12:46:56,75 - nsd, INFO, ALL IS WELL  
25.01.2017 12:46:57,07 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:01,44 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:47:01,74 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:06,08 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:10,50 - nsd, INFO, ALL IS WELL  
25.01.2017 12:47:10,77 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:15,12 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:47:15,41 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:19,79 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:24,14 - nsd, INFO, ALL IS WELL  
25.01.2017 12:47:24,45 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:28,81 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:47:29,14 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:33,57 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:37,91 - nsd, INFO, ALL IS WELL  
25.01.2017 12:47:38,25 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:42,65 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:47:42,94 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:47,34 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:51,77 - nsd, INFO, ALL IS WELL  
25.01.2017 12:47:52,06 - lsm, INFO, ALL IS WELL  
25.01.2017 12:47:56,40 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:47:56,71 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:01,06 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:05,52 - nsd, INFO, ALL IS WELL  
25.01.2017 12:48:05,89 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:10,25 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:48:10,66 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:15,01 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:19,36 - nsd, INFO, ALL IS WELL  
25.01.2017 12:48:19,66 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:24,00 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:48:24,32 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:28,71 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:33,05 - nsd, INFO, ALL IS WELL  
25.01.2017 12:48:33,35 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:37,79 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:48:38,06 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:42,44 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:46,76 - nsd, INFO, ALL IS WELL  
25.01.2017 12:48:47,12 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:51,55 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:48:51,87 - lsm, INFO, ALL IS WELL  
25.01.2017 12:48:56,21 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:00,58 - nsd, INFO, ALL IS WELL  
25.01.2017 12:49:00,85 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:05,28 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:49:05,66 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:10,02 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:14,35 - nsd, INFO, ALL IS WELL  
25.01.2017 12:49:14,79 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:19,13 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:49:19,41 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:23,85 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:28,21 - nsd, INFO, ALL IS WELL  
25.01.2017 12:49:28,48 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:32,88 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:49:33,21 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:37,66 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:42,01 - nsd, INFO, ALL IS WELL  
25.01.2017 12:49:42,32 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:46,75 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:49:47,03 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:51,37 - lsm, INFO, ALL IS WELL  
25.01.2017 12:49:55,78 - nsd, INFO, ALL IS WELL  
25.01.2017 12:49:56,14 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:00,52 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:50:00,79 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:05,15 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:09,95 - nsd, INFO, ALL IS WELL  
25.01.2017 12:50:10,50 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:14,88 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:50:15,16 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:19,60 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:24,00 - nsd, INFO, ALL IS WELL  
25.01.2017 12:50:24,31 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:28,65 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:50:28,94 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:33,33 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:37,65 - nsd, INFO, ALL IS WELL  
25.01.2017 12:50:37,92 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:42,28 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:50:42,59 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:46,93 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:51,33 - nsd, INFO, ALL IS WELL  
25.01.2017 12:50:51,62 - lsm, INFO, ALL IS WELL  
25.01.2017 12:50:55,96 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:50:56,26 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:00,61 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:04,96 - nsd, INFO, ALL IS WELL  
25.01.2017 12:51:05,35 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:09,71 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:51:10,00 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:14,34 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:18,69 - nsd, INFO, ALL IS WELL  
25.01.2017 12:51:18,99 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:23,44 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:51:23,82 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:28,20 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:32,54 - nsd, INFO, ALL IS WELL  
25.01.2017 12:51:32,82 - lsm, INFO, ALL IS WELL  
25.01.2017 12:51:37,16 - mtbpro, INFO, ALL IS WELL  
25.01.2017 12:51:37,49 - lsm, INFO, ALL IS WELL  
