24.01.2017 13:15:59,10 - nsd, INFO, ALL IS WELL  
24.01.2017 13:16:08,52 - nsd, INFO, ALL IS WELL  
24.01.2017 13:16:17,87 - nsd, INFO, ALL IS WELL  
24.01.2017 13:16:27,22 - nsd, INFO, ALL IS WELL  
24.01.2017 13:16:36,56 - nsd, INFO, ALL IS WELL  
24.01.2017 13:16:45,91 - nsd, INFO, ALL IS WELL  
24.01.2017 13:16:55,26 - nsd, INFO, ALL IS WELL  
24.01.2017 13:17:04,60 - nsd, INFO, ALL IS WELL  
24.01.2017 13:17:13,96 - nsd, INFO, ALL IS WELL  
24.01.2017 13:17:23,36 - nsd, INFO, ALL IS WELL  
24.01.2017 13:17:32,71 - nsd, INFO, ALL IS WELL  
24.01.2017 13:17:42,11 - nsd, INFO, ALL IS WELL  
24.01.2017 13:17:51,48 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:00,89 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:10,26 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:19,67 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:29,05 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:38,41 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:47,79 - nsd, INFO, ALL IS WELL  
24.01.2017 13:18:57,11 - nsd, INFO, ALL IS WELL  
24.01.2017 13:19:06,46 - nsd, INFO, ALL IS WELL  
24.01.2017 13:19:15,84 - nsd, INFO, ALL IS WELL  
24.01.2017 13:19:25,17 - nsd, INFO, ALL IS WELL  
24.01.2017 13:19:34,50 - nsd, INFO, ALL IS WELL  
24.01.2017 13:19:43,88 - nsd, INFO, ALL IS WELL  
24.01.2017 13:19:53,22 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:02,59 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:11,94 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:21,39 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:30,82 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:40,18 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:49,53 - nsd, INFO, ALL IS WELL  
24.01.2017 13:20:58,86 - nsd, INFO, ALL IS WELL  
24.01.2017 13:21:08,19 - nsd, INFO, ALL IS WELL  
24.01.2017 13:21:17,52 - nsd, INFO, ALL IS WELL  
24.01.2017 13:21:26,87 - nsd, INFO, ALL IS WELL  
24.01.2017 13:21:36,21 - nsd, INFO, ALL IS WELL  
24.01.2017 13:21:45,58 - nsd, INFO, ALL IS WELL  
24.01.2017 13:21:54,94 - nsd, INFO, ALL IS WELL  
24.01.2017 13:22:04,31 - nsd, INFO, ALL IS WELL  
24.01.2017 13:22:13,65 - nsd, INFO, ALL IS WELL  
24.01.2017 13:22:22,99 - nsd, INFO, ALL IS WELL  
24.01.2017 13:22:32,41 - nsd, INFO, ALL IS WELL  
24.01.2017 13:22:41,74 - nsd, INFO, ALL IS WELL  
24.01.2017 13:22:51,07 - nsd, INFO, ALL IS WELL  
24.01.2017 13:23:00,41 - nsd, INFO, ALL IS WELL  
24.01.2017 13:23:09,76 - nsd, INFO, ALL IS WELL  
