26.01.2017  0:08:26,51 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:08:26,82 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:31,18 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:35,57 - nsd, INFO, ALL IS WELL  
26.01.2017  0:08:36,00 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:40,35 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:08:40,69 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:45,13 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:49,51 - nsd, INFO, ALL IS WELL  
26.01.2017  0:08:49,81 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:54,20 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:08:54,57 - lsm, INFO, ALL IS WELL  
26.01.2017  0:08:59,02 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:03,41 - nsd, INFO, ALL IS WELL  
26.01.2017  0:09:03,71 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:08,10 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:09:08,42 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:12,82 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:17,21 - nsd, INFO, ALL IS WELL  
26.01.2017  0:09:17,54 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:21,94 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:09:22,25 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:26,62 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:31,03 - nsd, INFO, ALL IS WELL  
26.01.2017  0:09:31,34 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:35,74 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:09:36,14 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:40,51 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:44,87 - nsd, INFO, ALL IS WELL  
26.01.2017  0:09:45,17 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:49,55 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:09:49,86 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:54,24 - lsm, INFO, ALL IS WELL  
26.01.2017  0:09:58,65 - nsd, INFO, ALL IS WELL  
26.01.2017  0:09:59,00 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:03,39 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:10:03,68 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:08,06 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:12,43 - nsd, INFO, ALL IS WELL  
26.01.2017  0:10:12,74 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:17,18 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:10:17,50 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:21,87 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:26,23 - nsd, INFO, ALL IS WELL  
26.01.2017  0:10:26,56 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:31,02 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:10:31,32 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:35,70 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:40,15 - nsd, INFO, ALL IS WELL  
26.01.2017  0:10:40,47 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:44,85 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:10:45,15 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:49,51 - lsm, INFO, ALL IS WELL  
26.01.2017  0:10:53,88 - nsd, INFO, ALL IS WELL  
26.01.2017  0:10:54,23 - lsm, INFO, ALL IS WELL  
